,title,rating,ratingDescription,releaseYear,userRatingScore,userRatingSize
1,White Chicks,PG-13,80,2004,82,80
2,Grey's Anatomy,TV-14,90,2016,98,80
3,Prison Break,TV-14,90,2008,98,80
4,How I Met Your Mother,TV-PG,70,2014,94,80
5,Supernatural,TV-14,90,2016,95,80
6,Breaking Bad,TV-MA,110,2013,97,80
7,The Vampire Diaries,TV-14,90,2017,91,80
8,The Walking Dead,TV-MA,110,2015,98,80
9,Pretty Little Liars,TV-14,90,2016,96,80
10,Once Upon a Time,TV-PG,70,2016,98,80
11,Sherlock,TV-14,90,2016,95,80
12,Death Note,TV-14,90,2006,77,80
13,Naruto,TV-PG,70,2008,88,80
14,Arrow,TV-14,90,2015,96,80
15,Black Mirror,TV-MA,110,2016,80,80
16,The Originals,TV-14,90,2016,74,80
17,The 100,NR,124,2016,97,80
18,Masha and the Bear,TV-Y,10,2013,81,80
19,Hunter X Hunter (2011),NR,124,2013,57,80
20,Marvel's Luke Cage,TV-MA,110,2016,95,80
21,Marvel's Iron Fist,TV-MA,110,2017,98,80
22,Narcos,TV-MA,110,2016,94,80
23,The Flash,TV-PG,70,2016,98,80
24,The Do-Over,TV-MA,110,2016,84,80
25,Trollhunters,TV-Y7-FV,42,2016,83,80
26,Santa Clarita Diet,TV-MA,110,2017,82,80
27,Girlboss,TV-MA,110,2017,94,80
28,13 Reasons Why,TV-MA,110,2017,99,80
29,Sand Castle,TV-MA,110,2017,89,80
30,Sandy Wexler,TV-14,90,2017,92,80
31,The Office (U.S.),TV-14,90,2012,97,80
32,90210,TV-14,90,2013,62,80
33,Gossip Girl,TV-14,90,2012,96,80
34,Parks and Recreation,TV-14,90,2015,94,80
35,Glee,TV-PG,70,2015,92,80
36,Family Guy,TV-MA,110,2015,98,80
37,Criminal Minds,TV-14,90,2016,98,80
38,Friends,TV-14,90,2003,98,80
39,The Secret Life of the American Teenager,TV-14,90,2013,81,80
40,One Tree Hill,TV-14,90,2011,90,80
41,Shameless (U.S.),TV-MA,110,2016,97,80
42,New Girl,TV-14,90,2016,91,80
43,American Horror Story,TV-MA,110,2016,90,80
44,Orange Is the New Black,TV-MA,110,2016,98,80
45,Bates Motel,TV-14,90,2016,83,80
46,Grace and Frankie,TV-MA,110,2017,90,80
47,How to Get Away with Murder,TV-14,90,2016,95,80
48,The Get Down,TV-MA,110,2017,80,80
49,Stranger Things,TV-14,90,2016,90,80
50,Ingobernable,TV-MA,110,2017,96,80
51,Zootopia,PG,60,2016,97,80
52,Meet the Blacks,R,100,2016,79,80
53,Finding Dory,PG,60,2016,98,80
54,Sausage Party,R,100,2016,91,80
55,Pete's Dragon,PG,60,2016,93,80
56,Kevin Hart: What Now?,R,100,2016,97,80
57,Chewing Gum,TV-MA,110,2017,93,80
58,Cheer Squad,TV-PG,70,2016,61,80
59,Only for One Night,TV-MA,110,2016,78,80
60,30 Rock,TV-14,90,2012,66,80
61,Mad Men,TV-14,90,2014,75,80
62,It's Always Sunny in Philadelphia,TV-MA,110,2016,91,80
63,Californication,TV-MA,110,2014,63,80
64,Portlandia,TV-14,90,2016,62,80
65,The Client List,TV-14,90,2013,92,80
66,Better Call Saul,TV-MA,110,2016,95,80
67,Schitt's Creek,TV-14,90,2016,74,80
68,The Great British Baking Show,TV-PG,70,2016,94,80
69,Life in Pieces,TV-14,90,2015,68,80
70,Louis C.K. 2017,TV-MA,110,2017,71,80
71,Dave Chappelle,TV-MA,110,2017,94,80
72,The Cleveland Show,TV-14,90,2012,88,80
73,Absolutely Fabulous,TV-14,90,2012,59,80
74,Raising Hope,TV-14,90,2013,73,80
75,Brickleberry,TV-MA,110,2014,63,80
76,Bordertown,TV-14,90,2016,86,80
77,Jane The Virgin,TV-14,90,2016,91,80
78,Dope,R,100,2015,79,80
79,The Carmichael Show,TV-14,90,2016,69,80
80,Haters Back Off,TV-14,90,2016,58,80
81,Kubo and the Two Strings,PG,60,2016,96,80
82,Little Boxes,TV-14,90,2016,61,80
83,Greenleaf,TV-14,90,2016,62,80
84,Nurse Jackie,TV-MA,110,2015,82,80
85,Gilmore Girls,TV-14,90,2006,91,80
86,Parenthood,TV-14,90,2014,79,80
87,Life Unexpected,TV-PG,70,2010,55,80
88,Being Human (U.S.),TV-14,90,2014,58,80
89,Baby Daddy,TV-14,90,2016,80,80
90,Sense8,TV-MA,110,2017,81,80
91,Girlfriends' Guide to Divorce,TV-14,90,2015,63,80
92,The Great Gilly Hopkins,PG,60,2016,69,80
93,The Magicians,TV-MA,110,2016,89,80
94,The Matchbreaker,PG,60,2016,79,80
95,The Waterboy,PG-13,80,1998,82,80
96,10 Things I Hate About You,PG-13,80,1999,68,80
97,Grease,PG,60,1978,86,80
98,How to Lose a Guy in 10 Days,PG-13,80,2003,56,80
99,The Benchwarmers,PG-13,80,2006,77,80
100,Step Up,PG-13,80,2006,64,80
101,High School Musical 2,TV-G,35,2007,58,80
102,Twilight,PG-13,80,2008,89,80
103,Coraline,PG,60,2009,95,80
104,Hannah Montana: The Movie,G,35,2009,56,80
105,Friday Night Lights,TV-PG,70,2010,81,80
106,That '70s Show,TV-14,90,2005,89,80
107,Heartland,TV-PG,70,2015,85,80
108,Switched at Birth,TV-14,90,2015,83,80
109,Hart of Dixie,TV-PG,70,2014,81,80
110,Safe Haven,PG-13,80,2013,62,80
111,The Night Shift,TV-14,90,2015,93,80
112,Reign,TV-14,90,2015,79,80
113,Fuller House,TV-G,35,2016,90,80
114,Gilmore Girls: A Year in the Life,TV-14,90,2016,77,80
115,Gabriel lglesias: Iï¿½_m Sorry For What I Said When I Was Hungry,TV-14,90,2016,84,80
116,Blow,R,100,2001,78,80
117,High School Musical,TV-G,35,2006,64,80
118,Bones,TV-14,90,2016,97,80
119,Law & Order: Special Victims Unit,TV-14,90,2015,97,80
120,NCIS,TV-14,90,2016,97,80
121,Army Wives,TV-14,90,2013,61,80
122,Private Practice,TV-14,90,2012,88,80
123,Revenge,TV-PG,70,2015,84,80
124,Scandal,TV-14,90,2016,92,80
125,Magic Mike,R,100,2012,77,80
126,Trouble with the Curve,PG-13,80,2012,63,80
127,Home,PG,60,2015,94,80
128,Skin Wars,TV-14,90,2016,69,80
129,Lost,TV-14,90,2010,98,80
130,Weeds,TV-MA,110,2012,85,80
131,Lie to Me,TV-14,90,2010,89,80
132,Charmed,TV-PG,70,2005,90,80
133,White Collar,TV-PG,70,2014,93,80
134,House of Cards,TV-MA,110,2016,91,80
135,The Killing,TV-14,90,2014,73,80
136,The Blacklist,TV-14,90,2016,96,80
137,The Fosters,TV-14,90,2016,73,80
138,Bitten,TV-MA,110,2016,56,80
139,London Has Fallen,R,100,2016,96,80
140,Marvel's Jessica Jones,TV-MA,110,2015,83,80
141,The Crown,TV-MA,110,2016,84,80
142,Quantico,TV-14,90,2016,88,80
143,Dexter,TV-MA,110,2013,95,80
144,Leverage,TV-PG,70,2012,86,80
145,Burn Notice,TV-14,90,2013,85,80
146,Luther,TV-14,90,2015,69,80
147,Hawaii Five-0,TV-14,90,2016,96,80
148,Last Man Standing,TV-PG,70,2015,97,80
149,Person of Interest,TV-14,90,2016,93,80
150,Touch,TV-14,90,2012,68,80
151,Breakout Kings,TV-14,90,2012,88,80
152,Longmire,TV-14,90,2016,92,80
153,The Fall,TV-MA,110,2016,61,80
154,Death in Paradise,TV-14,90,2016,77,80
155,Marvel's Agents of S.H.I.E.L.D.,TV-PG,70,2016,89,80
156,Crossing Lines,TV-14,90,2015,66,80
157,Gotham,TV-14,90,2016,85,80
158,Hap and Leonard,TV-MA,110,2016,57,80
159,Rosewood,TV-14,90,2015,81,80
160,Limitless,TV-14,90,2016,84,80
161,Travelers,TV-MA,110,2016,86,80
162,The Doctor Blake Mysteries,TV-MA,110,2016,57,80
163,The West Wing,TV-14,90,2005,79,80
164,Blue Bloods,TV-14,90,2016,95,80
165,Forensic Files,TV-14,90,2011,88,80
166,Madam Secretary,TV-14,90,2016,70,80
167,American Crime Story: The People v. O.J. Simpson,TV-MA,110,2016,79,80
168,The Nightmare Before Christmas,PG,60,1993,84,80
169,Scooby-Doo,PG,60,2002,86,80
170,Chicken Little,G,35,2005,92,80
171,Star Wars: The Clone Wars,PG,60,2008,57,80
172,Cars Toons: Mater's Tall Tales,TV-G,35,2010,74,80
173,Star Wars: The Clone Wars,TV-PG,70,2014,93,80
174,Phineas and Ferb,TV-G,35,2012,89,80
175,The Batman,TV-Y7,41,2007,77,80
176,Justice League,TV-Y7-FV,42,2003,66,80
177,Mighty Morphin Power Rangers,TV-Y7-FV,42,2010,73,80
178,Young Justice,TV-PG,70,2012,71,80
179,All Hail King Julien,TV-Y7-FV,42,2016,71,80
180,The Jungle Book,PG,60,2016,97,80
181,The Angry Birds Movie,PG,60,2016,92,80
182,Talking Tom and Friends,TV-G,35,2016,61,80
183,An Extremely Goofy Movie,G,35,1999,67,80
184,The Iron Giant,PG,60,1999,83,80
185,LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,42,2015,67,80
186,Goosebumps,TV-Y7,41,1998,88,80
187,Pok_mon: Indigo League,TV-Y,10,2000,74,80
188,Ratchet and Clank,PG,60,2016,74,80
189,The Adventures of Puss in Boots,TV-Y7-FV,42,2016,78,80
190,Pok_mon: XY,TV-Y7-FV,42,2015,56,80
191,Growing Up Wild,G,35,2016,80,80
192,The Little Rascals,PG,60,1994,86,80
193,Flubber,PG,60,1997,83,80
194,Tarzan,G,35,1999,95,80
195,The Emperor's New Groove,G,35,2000,95,80
196,Lilo & Stitch,PG,60,2002,95,80
197,Scooby-Doo 2: Monsters Unleashed,PG,60,2004,82,80
198,The Pacifier,PG,60,2005,91,80
199,Bee Movie,PG,60,2007,94,80
200,Kung Fu Panda,PG,60,2008,91,80
201,Super Why!,TV-Y,10,2015,68,80
202,Jessie,TV-G,35,2015,88,80
203,Lab Rats,TV-Y7,41,2016,85,80
204,Pocoyo,TV-Y,10,2007,67,80
205,Dragons: Race to the Edge,TV-Y7-FV,42,2017,88,80
206,Little Einsteins,TV-Y,10,2007,70,80
207,Hotel Transylvania 2,PG,60,2015,93,80
208,Dawn of the Croods,TV-Y7,41,2017,72,80
209,Goosebumps,PG,60,2015,90,80
210,Kung Fu Panda 3,PG,60,2016,92,80
211,Open Season: Scared Silly,PG,60,2015,72,80
212,Alice Through the Looking Glass,PG,60,2016,96,80
213,Goldie & Bear,TV-Y,10,2016,77,80
214,Antz,PG,60,1998,80,80
215,Chicken Run,G,35,2000,80,80
216,Spy Kids 3: Game Over,PG,60,2003,64,80
217,Annie,PG,60,1982,68,80
218,Mulan 2,G,35,2004,85,80
219,Lilo & Stitch 2: Stitch Has A Glitch,PG,60,2005,85,80
220,DreamWorks Shrek's Swamp Stories,TV-PG,70,2008,56,80
221,The Magic School Bus,TV-Y,10,1997,81,80
222,Sofia the First,TV-Y,10,2015,82,80
223,Barbie Life in the Dreamhouse,TV-G,35,2012,85,80
224,Paddington,PG,60,2014,70,80
225,Minions,PG,60,2015,96,80
226,The Little Prince,PG,60,2015,71,80
227,Cool Runnings,PG,60,1993,81,80
228,Homeward Bound: The Incredible Journey,G,35,1993,96,80
229,Anastasia,G,35,1997,93,80
230,Missione Hamburger,PG,60,1997,75,80
231,Curious George,G,35,2006,55,80
232,Secret of the Wings,G,35,2012,65,80
233,Walt Disney Animation Studios Short Films Collection,TV-G,35,2015,84,80
234,Bunk'd,TV-G,35,2016,61,80
235,The BFG,PG,60,2016,97,80
236,The Real Ghostbusters,TV-Y7,41,1990,65,80
237,The Prince of Egypt,PG,60,1998,81,80
238,The Road to El Dorado,PG,60,2000,91,80
239,Pocahontas II: Journey to a New World,TV-G,35,1998,64,80
240,Fantasia,G,35,1940,61,80
241,An American Tail,G,35,1986,67,80
242,Balto,G,35,1995,64,80
243,Brother Bear 2,G,35,2006,57,80
244,Animaniacs,TV-Y7,41,1997,72,80
245,The Pirate Fairy,G,35,2014,57,80
246,FernGully: The Last Rainforest,G,35,1992,70,80
247,Harry and the Hendersons,PG,60,1987,58,80
248,Atlantis: The Lost Empire,PG,60,2001,96,80
249,Atlantis: Milo's Return,G,35,2003,79,80
250,Corpse Bride,PG,60,2005,91,80
251,Baby's Day Out,PG,60,1994,71,80
252,Blank Check,PG,60,1994,93,80
253,Heavyweights,PG,60,1995,74,80
254,D2: The Mighty Ducks,PG,60,1994,70,80
255,"Honey, I Shrunk the Kids",PG,60,1989,80,80
256,H2O: Just Add Water,TV-PG,70,2009,74,80